2026-05-26T19:40:37-04:00
Running ./build/run_benchmarks
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 2.19, 2.73, 2.76
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"FLOPS"
"BENCHMARK_axpy_parallel/16384/2",144331,8837.42,4640.37,ns,,,,,,7.06151e+09
"BENCHMARK_axpy_parallel/16384/4",114042,12161.7,5671.09,ns,,,,,,5.77808e+09
"BENCHMARK_axpy_parallel/16384/8",43551,30427.2,16055,ns,,,,,,2.04099e+09
"BENCHMARK_axpy_parallel/16384/16",31544,43343.1,23589.3,ns,,,,,,1.3891e+09
"BENCHMARK_axpy_parallel/32768/2",98757,11407.4,7208.21,ns,,,,,,9.09186e+09
"BENCHMARK_axpy_parallel/32768/4",89036,13820.3,7913.55,ns,,,,,,8.28149e+09
"BENCHMARK_axpy_parallel/32768/8",39563,37928.8,18293.1,ns,,,,,,3.58256e+09
"BENCHMARK_axpy_parallel/32768/16",29604,48546.4,23100.1,ns,,,,,,2.83705e+09
"BENCHMARK_axpy_parallel/65536/2",62847,15557.6,11041,ns,,,,,,1.18714e+10
"BENCHMARK_axpy_parallel/65536/4",66641,16642.3,9555.6,ns,,,,,,1.37168e+10
"BENCHMARK_axpy_parallel/65536/8",35717,42822.3,18168.4,ns,,,,,,7.2143e+09
"BENCHMARK_axpy_parallel/65536/16",29740,45894.9,23808.5,ns,,,,,,5.50526e+09
"BENCHMARK_axpy_parallel/131072/2",34579,26658.2,20089.6,ns,,,,,,1.30487e+10
"BENCHMARK_axpy_parallel/131072/4",50208,20937.6,13932.2,ns,,,,,,1.88157e+10
"BENCHMARK_axpy_parallel/131072/8",31535,49171.1,21524.4,ns,,,,,,1.21789e+10
"BENCHMARK_axpy_parallel/131072/16",27316,48743.4,25290.1,ns,,,,,,1.03655e+10
"BENCHMARK_axpy_parallel/262144/2",19465,39572.9,35661.2,ns,,,,,,1.47019e+10
"BENCHMARK_axpy_parallel/262144/4",32961,28264,21438.2,ns,,,,,,2.44558e+10
"BENCHMARK_axpy_parallel/262144/8",27559,44510.1,25522.5,ns,,,,,,2.05422e+10
"BENCHMARK_axpy_parallel/262144/16",24972,52595.6,28097.9,ns,,,,,,1.86593e+10
"BENCHMARK_axpy_parallel/524288/2",10093,70570.1,65802.4,ns,,,,,,1.59352e+10
"BENCHMARK_axpy_parallel/524288/4",17733,46769.5,39870.3,ns,,,,,,2.62997e+10
"BENCHMARK_axpy_parallel/524288/8",20534,55646.4,34146.7,ns,,,,,,3.07079e+10
"BENCHMARK_axpy_parallel/524288/16",21743,65093,32513.2,ns,,,,,,3.22508e+10
"BENCHMARK_axpy_parallel/1048576/2",4851,153573,136263,ns,,,,,,1.53904e+10
"BENCHMARK_axpy_parallel/1048576/4",7316,130495,92680,ns,,,,,,2.26279e+10
"BENCHMARK_axpy_parallel/1048576/8",14543,75220.1,47954.5,ns,,,,,,4.37321e+10
"BENCHMARK_axpy_parallel/1048576/16",17149,222141,40496.5,ns,,,,,,5.1786e+10
"BENCHMARK_scal_parallel/16384/2",165548,8638.16,4201.73,ns,,,,,,7.79869e+09
"BENCHMARK_scal_parallel/16384/4",125089,10769.9,5333.8,ns,,,,,,6.14346e+09
"BENCHMARK_scal_parallel/16384/8",54320,28890.4,12824.3,ns,,,,,,2.55515e+09
"BENCHMARK_scal_parallel/16384/16",35529,43508.3,19902.8,ns,,,,,,1.6464e+09
"BENCHMARK_scal_parallel/32768/2",123372,9810.42,5584.78,ns,,,,,,1.17347e+10
"BENCHMARK_scal_parallel/32768/4",122712,12337,5646.84,ns,,,,,,1.16058e+10
"BENCHMARK_scal_parallel/32768/8",50517,29389.2,12869.9,ns,,,,,,5.09221e+09
"BENCHMARK_scal_parallel/32768/16",35115,44093.2,20135.7,ns,,,,,,3.25472e+09
"BENCHMARK_scal_parallel/65536/2",84726,12528.3,8262.74,ns,,,,,,1.5863e+10
"BENCHMARK_scal_parallel/65536/4",87155,14075.2,8118.51,ns,,,,,,1.61448e+10
"BENCHMARK_scal_parallel/65536/8",49630,31169.1,14067.1,ns,,,,,,9.31764e+09
"BENCHMARK_scal_parallel/65536/16",33104,45009.4,20952,ns,,,,,,6.25582e+09
"BENCHMARK_scal_parallel/131072/2",51463,17754.1,13543.5,ns,,,,,,1.93557e+10
"BENCHMARK_scal_parallel/131072/4",67515,21375.9,11463.9,ns,,,,,,2.28669e+10
"BENCHMARK_scal_parallel/131072/8",40430,45903.4,17693.2,ns,,,,,,1.48161e+10
"BENCHMARK_scal_parallel/131072/16",30889,48012.7,22648.4,ns,,,,,,1.15745e+10
"BENCHMARK_scal_parallel/262144/2",28362,29101.9,24704.6,ns,,,,,,2.12223e+10
"BENCHMARK_scal_parallel/262144/4",44688,22861.3,15770.9,ns,,,,,,3.32441e+10
"BENCHMARK_scal_parallel/262144/8",35180,64477.5,20050.2,ns,,,,,,2.61488e+10
"BENCHMARK_scal_parallel/262144/16",27880,63971.1,24591.2,ns,,,,,,2.13202e+10
"BENCHMARK_scal_parallel/524288/2",15949,48755.8,44064.1,ns,,,,,,2.37966e+10
"BENCHMARK_scal_parallel/524288/4",25124,35311.2,27929,ns,,,,,,3.75443e+10
"BENCHMARK_scal_parallel/524288/8",27091,45088.1,25772.2,ns,,,,,,4.06862e+10
"BENCHMARK_scal_parallel/524288/16",25833,59790.5,27191.9,ns,,,,,,3.85621e+10
"BENCHMARK_scal_parallel/1048576/2",8669,85560.5,81144.4,ns,,,,,,2.58447e+10
"BENCHMARK_scal_parallel/1048576/4",14371,67899.2,48969.7,ns,,,,,,4.28255e+10
"BENCHMARK_scal_parallel/1048576/8",19420,56703.6,36160.1,ns,,,,,,5.79963e+10
"BENCHMARK_scal_parallel/1048576/16",21287,199100,33022.4,ns,,,,,,6.3507e+10
"BENCHMARK_dot_parallel/16384/2",60363,16398.6,11645.8,ns,,,,,,2.81372e+09
"BENCHMARK_dot_parallel/16384/4",77474,16042.5,8891.18,ns,,,,,,3.68545e+09
"BENCHMARK_dot_parallel/16384/8",25849,58228.6,28239.5,ns,,,,,,1.16036e+09
"BENCHMARK_dot_parallel/16384/16",15702,88475.6,44475.7,ns,,,,,,7.36762e+08
"BENCHMARK_dot_parallel/32768/2",34886,24357.9,20052.7,ns,,,,,,3.26819e+09
"BENCHMARK_dot_parallel/32768/4",49738,20785.3,14045.8,ns,,,,,,4.66588e+09
"BENCHMARK_dot_parallel/32768/8",22868,60681.7,30567.6,ns,,,,,,2.14397e+09
"BENCHMARK_dot_parallel/32768/16",14679,89536.3,47423.9,ns,,,,,,1.38192e+09
"BENCHMARK_dot_parallel/65536/2",18915,41056.8,36921.2,ns,,,,,,3.55005e+09
"BENCHMARK_dot_parallel/65536/4",30485,29853.1,22596.2,ns,,,,,,5.80061e+09
